,lon,lat,dh,dat
811716,114.1683,30.5061,0,0.049774162
655703,121.3,31.19,0,66.4689
811716,114.1683,30.5061,3,1.4744717
655703,121.3,31.19,3,92.68147
811716,114.1683,30.5061,6,83.460976
655703,121.3,31.19,6,76.54874
811716,114.1683,30.5061,9,88.08207
655703,121.3,31.19,9,15.42833
811716,114.1683,30.5061,12,59.227203
655703,121.3,31.19,12,26.834015
811716,114.1683,30.5061,15,12.315315
655703,121.3,31.19,15,13.119122
811716,114.1683,30.5061,18,29.132486
655703,121.3,31.19,18,98.949936
811716,114.1683,30.5061,21,33.946842
655703,121.3,31.19,21,64.74628
811716,114.1683,30.5061,24,33.07499
655703,121.3,31.19,24,82.20511
811716,114.1683,30.5061,27,51.122234
655703,121.3,31.19,27,73.38638
811716,114.1683,30.5061,30,25.293316
655703,121.3,31.19,30,80.210846
811716,114.1683,30.5061,33,67.53807
655703,121.3,31.19,33,23.534687
811716,114.1683,30.5061,36,5.261093
655703,121.3,31.19,36,7.83745
811716,114.1683,30.5061,39,2.7122
655703,121.3,31.19,39,26.071863
811716,114.1683,30.5061,42,99.00618
655703,121.3,31.19,42,100.0
811716,114.1683,30.5061,45,100.0
655703,121.3,31.19,45,100.0
811716,114.1683,30.5061,48,99.91168
655703,121.3,31.19,48,100.0
811716,114.1683,30.5061,51,100.0
655703,121.3,31.19,51,99.53098
811716,114.1683,30.5061,54,100.0
655703,121.3,31.19,54,40.128952
811716,114.1683,30.5061,57,100.0
655703,121.3,31.19,57,37.775146
811716,114.1683,30.5061,60,100.0
655703,121.3,31.19,60,99.44103
811716,114.1683,30.5061,63,100.0
655703,121.3,31.19,63,99.63997
811716,114.1683,30.5061,66,100.0
655703,121.3,31.19,66,99.48395
811716,114.1683,30.5061,69,100.0
655703,121.3,31.19,69,96.23388
811716,114.1683,30.5061,72,100.0
655703,121.3,31.19,72,91.99907
811716,114.1683,30.5061,78,100.0
655703,121.3,31.19,78,90.481445
811716,114.1683,30.5061,84,31.648193
655703,121.3,31.19,84,67.998726
811716,114.1683,30.5061,90,94.51691
655703,121.3,31.19,90,55.357086
811716,114.1683,30.5061,96,100.0
655703,121.3,31.19,96,4.29405
811716,114.1683,30.5061,102,100.0
655703,121.3,31.19,102,74.06586
811716,114.1683,30.5061,108,100.0
655703,121.3,31.19,108,98.99654
811716,114.1683,30.5061,114,99.98734
655703,121.3,31.19,114,98.53391
811716,114.1683,30.5061,120,100.0
655703,121.3,31.19,120,91.799805
811716,114.1683,30.5061,126,100.0
655703,121.3,31.19,126,100.0
811716,114.1683,30.5061,132,100.0
655703,121.3,31.19,132,100.0
811716,114.1683,30.5061,138,100.0
655703,121.3,31.19,138,100.0
811716,114.1683,30.5061,144,100.0
655703,121.3,31.19,144,98.70013
811716,114.1683,30.5061,150,100.0
655703,121.3,31.19,150,100.0
811716,114.1683,30.5061,156,99.973625
655703,121.3,31.19,156,78.081184
811716,114.1683,30.5061,162,99.752884
655703,121.3,31.19,162,95.8022
811716,114.1683,30.5061,168,95.202866
655703,121.3,31.19,168,100.0
811716,114.1683,30.5061,174,91.54316
655703,121.3,31.19,174,100.0
811716,114.1683,30.5061,180,99.48517
655703,121.3,31.19,180,100.0
811716,114.1683,30.5061,186,99.752884
655703,121.3,31.19,186,100.0
811716,114.1683,30.5061,192,97.42638
655703,121.3,31.19,192,94.318214
811716,114.1683,30.5061,198,99.04593
655703,121.3,31.19,198,86.89994
811716,114.1683,30.5061,204,99.42147
655703,121.3,31.19,204,85.475204
811716,114.1683,30.5061,210,97.30294
655703,121.3,31.19,210,73.23152
811716,114.1683,30.5061,216,94.850426
655703,121.3,31.19,216,92.324905
811716,114.1683,30.5061,222,99.318375
655703,121.3,31.19,222,92.03715
811716,114.1683,30.5061,228,8.782806
655703,121.3,31.19,228,100.0
811716,114.1683,30.5061,234,22.507294
655703,121.3,31.19,234,100.0
811716,114.1683,30.5061,240,76.98521
655703,121.3,31.19,240,100.0
