,lon,lat,dh,dat
811716,114.1683,30.5061,3,77.89026
655703,121.3,31.19,3,80.96251
811716,114.1683,30.5061,6,87.46334
655703,121.3,31.19,6,87.437515
811716,114.1683,30.5061,9,89.936
655703,121.3,31.19,9,90.33751
811716,114.1683,30.5061,12,74.05463
655703,121.3,31.19,12,84.62501
811716,114.1683,30.5061,15,61.557373
655703,121.3,31.19,15,65.0125
811716,114.1683,30.5061,18,56.86332
655703,121.3,31.19,18,63.462498
811716,114.1683,30.5061,21,51.810154
655703,121.3,31.19,21,66.55001
811716,114.1683,30.5061,24,44.17396
655703,121.3,31.19,24,55.9125
811716,114.1683,30.5061,27,87.94682
655703,121.3,31.19,27,81.4375
811716,114.1683,30.5061,30,91.49534
655703,121.3,31.19,30,89.1125
811716,114.1683,30.5061,33,93.826836
655703,121.3,31.19,33,93.83751
811716,114.1683,30.5061,36,83.79829
655703,121.3,31.19,36,88.63751
811716,114.1683,30.5061,39,67.00876
655703,121.3,31.19,39,69.649994
811716,114.1683,30.5061,42,62.20257
655703,121.3,31.19,42,65.04999
811716,114.1683,30.5061,45,59.771996
655703,121.3,31.19,45,68.3
811716,114.1683,30.5061,48,53.391056
655703,121.3,31.19,48,57.24999
811716,114.1683,30.5061,51,87.221115
655703,121.3,31.19,51,86.312515
811716,114.1683,30.5061,54,87.84019
655703,121.3,31.19,54,92.000015
811716,114.1683,30.5061,57,89.797165
655703,121.3,31.19,57,93.48752
811716,114.1683,30.5061,60,92.824394
655703,121.3,31.19,60,85.812515
811716,114.1683,30.5061,63,70.91759
655703,121.3,31.19,63,64.3
811716,114.1683,30.5061,66,61.712387
655703,121.3,31.19,66,65.5875
811716,114.1683,30.5061,69,58.918617
655703,121.3,31.19,69,66.63751
811716,114.1683,30.5061,72,53.61846
655703,121.3,31.19,72,55.300003
811716,114.1683,30.5061,75,91.13398
655703,121.3,31.19,75,88.8
811716,114.1683,30.5061,78,93.941185
655703,121.3,31.19,78,93.55
811716,114.1683,30.5061,81,93.64624
655703,121.3,31.19,81,96.0125
811716,114.1683,30.5061,84,84.19088
655703,121.3,31.19,84,91.725
811716,114.1683,30.5061,87,75.080956
655703,121.3,31.19,87,79.33751
811716,114.1683,30.5061,90,69.17245
655703,121.3,31.19,90,77.46251
811716,114.1683,30.5061,93,67.89275
655703,121.3,31.19,93,75.82501
811716,114.1683,30.5061,96,59.50881
655703,121.3,31.19,96,66.63751
811716,114.1683,30.5061,99,78.74343
655703,121.3,31.19,99,89.12499
811716,114.1683,30.5061,102,79.651955
655703,121.3,31.19,102,93.3625
811716,114.1683,30.5061,105,81.52318
655703,121.3,31.19,105,94.3
811716,114.1683,30.5061,108,89.05035
655703,121.3,31.19,108,88.924995
811716,114.1683,30.5061,111,89.495026
655703,121.3,31.19,111,75.57499
811716,114.1683,30.5061,114,62.222263
655703,121.3,31.19,114,74.524994
811716,114.1683,30.5061,117,63.375427
655703,121.3,31.19,117,75.149994
811716,114.1683,30.5061,120,61.14798
655703,121.3,31.19,120,67.962494
811716,114.1683,30.5061,123,79.058586
655703,121.3,31.19,123,79.17503
811716,114.1683,30.5061,126,80.57192
655703,121.3,31.19,126,85.03754
811716,114.1683,30.5061,129,82.57767
655703,121.3,31.19,129,86.72502
811716,114.1683,30.5061,132,81.661766
655703,121.3,31.19,132,78.86253
811716,114.1683,30.5061,135,87.152626
655703,121.3,31.19,135,61.637516
811716,114.1683,30.5061,138,70.78279
655703,121.3,31.19,138,60.08752
811716,114.1683,30.5061,141,72.63995
655703,121.3,31.19,141,60.11252
811716,114.1683,30.5061,144,70.042305
655703,121.3,31.19,144,49.90002
811716,114.1683,30.5061,147,92.43453
655703,121.3,31.19,147,57.174984
811716,114.1683,30.5061,150,88.644325
655703,121.3,31.19,150,93.399994
811716,114.1683,30.5061,153,90.515564
655703,121.3,31.19,153,86.63748
811716,114.1683,30.5061,156,91.07536
655703,121.3,31.19,156,84.38742
811716,114.1683,30.5061,159,78.01586
655703,121.3,31.19,159,58.062496
811716,114.1683,30.5061,162,70.79376
655703,121.3,31.19,162,66.26253
811716,114.1683,30.5061,165,74.76451
655703,121.3,31.19,165,72.974976
811716,114.1683,30.5061,168,64.981064
655703,121.3,31.19,168,86.19997
811716,114.1683,30.5061,171,79.865875
655703,121.3,31.19,171,92.674995
811716,114.1683,30.5061,174,85.242455
655703,121.3,31.19,174,92.48749
811716,114.1683,30.5061,177,94.19978
655703,121.3,31.19,177,92.725
811716,114.1683,30.5061,180,83.0757
655703,121.3,31.19,180,85.5625
811716,114.1683,30.5061,183,73.18447
655703,121.3,31.19,183,69.84999
811716,114.1683,30.5061,186,59.54457
655703,121.3,31.19,186,69.34999
811716,114.1683,30.5061,189,70.65205
655703,121.3,31.19,189,66.98751
811716,114.1683,30.5061,192,54.711487
655703,121.3,31.19,192,59.61249
811716,114.1683,30.5061,195,78.42506
655703,121.3,31.19,195,81.40001
811716,114.1683,30.5061,198,93.78443
655703,121.3,31.19,198,92.38751
811716,114.1683,30.5061,201,90.82643
655703,121.3,31.19,201,86.65
811716,114.1683,30.5061,204,82.983955
655703,121.3,31.19,204,77.23747
811716,114.1683,30.5061,207,72.353386
655703,121.3,31.19,207,60.42498
811716,114.1683,30.5061,210,61.307327
655703,121.3,31.19,210,59.49999
811716,114.1683,30.5061,213,57.235786
655703,121.3,31.19,213,60.53748
811716,114.1683,30.5061,216,54.059727
655703,121.3,31.19,216,45.862473
811716,114.1683,30.5061,219,92.69402
655703,121.3,31.19,219,91.28752
811716,114.1683,30.5061,222,89.17452
655703,121.3,31.19,222,81.67501
811716,114.1683,30.5061,225,88.35289
655703,121.3,31.19,225,80.26251
811716,114.1683,30.5061,228,86.979645
655703,121.3,31.19,228,79.125015
811716,114.1683,30.5061,231,86.59521
655703,121.3,31.19,231,70.275
811716,114.1683,30.5061,234,74.24014
655703,121.3,31.19,234,69.58751
811716,114.1683,30.5061,237,74.60142
655703,121.3,31.19,237,70.26251
811716,114.1683,30.5061,240,68.72184
655703,121.3,31.19,240,61.462494
