,lon,lat,dh,dat
NEACC,121.3,31.19,0,16.412498
NEACC,121.3,31.19,3,16.281504
NEACC,121.3,31.19,6,15.389012
NEACC,121.3,31.19,9,17.073
NEACC,121.3,31.19,12,18.045498
NEACC,121.3,31.19,15,20.174461
NEACC,121.3,31.19,18,20.921991
NEACC,121.3,31.19,21,19.184494
NEACC,121.3,31.19,24,16.854004
NEACC,121.3,31.19,27,14.893492
NEACC,121.3,31.19,30,14.862499
NEACC,121.3,31.19,33,14.852496
NEACC,121.3,31.19,36,16.226492
NEACC,121.3,31.19,39,19.050007
NEACC,121.3,31.19,42,20.745491
NEACC,121.3,31.19,45,17.151014
NEACC,121.3,31.19,48,14.808014
NEACC,121.3,31.19,51,13.779005
NEACC,121.3,31.19,54,12.858507
NEACC,121.3,31.19,57,11.639012
NEACC,121.3,31.19,60,11.244013
NEACC,121.3,31.19,63,11.762013
NEACC,121.3,31.19,66,11.150013
NEACC,121.3,31.19,69,9.396509
NEACC,121.3,31.19,72,9.649004
NEACC,121.3,31.19,78,7.83749
NEACC,121.3,31.19,84,10.235999
NEACC,121.3,31.19,90,14.337505
NEACC,121.3,31.19,96,11.152005
NEACC,121.3,31.19,102,9.904995
NEACC,121.3,31.19,108,12.387493
NEACC,121.3,31.19,114,14.833532
NEACC,121.3,31.19,120,13.415516
NEACC,121.3,31.19,126,12.51302
NEACC,121.3,31.19,132,11.442005
NEACC,121.3,31.19,138,13.500519
NEACC,121.3,31.19,144,10.697505
NEACC,121.3,31.19,150,10.818506
NEACC,121.3,31.19,156,12.073001
NEACC,121.3,31.19,162,13.888491
NEACC,121.3,31.19,168,13.782513
NEACC,121.3,31.19,174,12.309004
NEACC,121.3,31.19,180,13.393499
NEACC,121.3,31.19,186,18.592495
NEACC,121.3,31.19,192,12.669503
NEACC,121.3,31.19,198,11.568001
NEACC,121.3,31.19,204,10.629494
NEACC,121.3,31.19,210,10.992508
NEACC,121.3,31.19,216,9.565505
NEACC,121.3,31.19,222,7.3155165
NEACC,121.3,31.19,228,7.2250137
NEACC,121.3,31.19,234,10.197
NEACC,121.3,31.19,240,5.4555235
