,lon,lat,dh,dat
811716,114.1683,30.5061,3,-1.730448
655703,121.3,31.19,3,-3.2625122
811716,114.1683,30.5061,6,-1.7103691
655703,121.3,31.19,6,-2.8375092
811716,114.1683,30.5061,9,-1.1402436
655703,121.3,31.19,9,-2.5500107
811716,114.1683,30.5061,12,-0.48753142
655703,121.3,31.19,12,-2.962513
811716,114.1683,30.5061,15,-0.75277495
655703,121.3,31.19,15,-2.9750137
811716,114.1683,30.5061,18,-0.9555261
655703,121.3,31.19,18,-3.03751
811716,114.1683,30.5061,21,-0.99032164
655703,121.3,31.19,21,-2.3625107
811716,114.1683,30.5061,24,-1.2250782
655703,121.3,31.19,24,-1.9875069
811716,114.1683,30.5061,27,-1.6750392
655703,121.3,31.19,27,-2.2625084
811716,114.1683,30.5061,30,-1.5152435
655703,121.3,31.19,30,-2.6875076
811716,114.1683,30.5061,33,-1.2403218
655703,121.3,31.19,33,-2.85001
811716,114.1683,30.5061,36,-0.79241353
655703,121.3,31.19,36,-3.1125107
811716,114.1683,30.5061,39,-0.9826961
655703,121.3,31.19,39,-2.8000107
811716,114.1683,30.5061,42,-1.0180261
655703,121.3,31.19,42,-2.7000122
811716,114.1683,30.5061,45,-1.0228614
655703,121.3,31.19,45,-3.3125114
811716,114.1683,30.5061,48,-1.0256517
655703,121.3,31.19,48,-3.6250114
811716,114.1683,30.5061,51,-1.4880736
655703,121.3,31.19,51,-4.087513
811716,114.1683,30.5061,54,-0.79573816
655703,121.3,31.19,54,-4.2500153
811716,114.1683,30.5061,57,-0.97283006
655703,121.3,31.19,57,-4.0375137
811716,114.1683,30.5061,60,-1.4527435
655703,121.3,31.19,60,-3.7750168
811716,114.1683,30.5061,63,-1.75
655703,121.3,31.19,63,-3.7750168
811716,114.1683,30.5061,66,-0.09729555
655703,121.3,31.19,66,-3.5500107
811716,114.1683,30.5061,69,0.30766466
655703,121.3,31.19,69,-2.8125076
811716,114.1683,30.5061,72,-0.12016466
655703,121.3,31.19,72,-2.9000092
811716,114.1683,30.5061,75,-1.1646309
655703,121.3,31.19,75,-3.5
811716,114.1683,30.5061,78,-1.3597565
655703,121.3,31.19,78,-1.6875
811716,114.1683,30.5061,81,-1.6049211
655703,121.3,31.19,81,-1.0999985
811716,114.1683,30.5061,84,-2.1049209
655703,121.3,31.19,84,-1.7999992
811716,114.1683,30.5061,87,-2.2576256
655703,121.3,31.19,87,-2.1875
811716,114.1683,30.5061,90,-2.479921
655703,121.3,31.19,90,-2.2999992
811716,114.1683,30.5061,93,-2.2423744
655703,121.3,31.19,93,-2.9874992
811716,114.1683,30.5061,96,-3.3076646
655703,121.3,31.19,96,-2.4249992
811716,114.1683,30.5061,99,-3.612539
655703,121.3,31.19,99,-2.4249992
811716,114.1683,30.5061,102,-2.8902435
655703,121.3,31.19,102,-2.4375
811716,114.1683,30.5061,105,-2.7451646
655703,121.3,31.19,105,-1.4375
811716,114.1683,30.5061,108,-2.9375
655703,121.3,31.19,108,-0.375
811716,114.1683,30.5061,111,-0.70274353
655703,121.3,31.19,111,-0.57500076
811716,114.1683,30.5061,114,-1.8826256
655703,121.3,31.19,114,1.1375008
811716,114.1683,30.5061,117,-0.8125
655703,121.3,31.19,117,-0.7125015
811716,114.1683,30.5061,120,-1.7576256
655703,121.3,31.19,120,1.0
811716,114.1683,30.5061,123,-0.14024353
655703,121.3,31.19,123,-1.6124992
811716,114.1683,30.5061,126,-1.4771309
655703,121.3,31.19,126,1.1875
811716,114.1683,30.5061,129,-1.2423744
655703,121.3,31.19,129,-1.5625
811716,114.1683,30.5061,132,-0.8125
655703,121.3,31.19,132,1.6375008
811716,114.1683,30.5061,135,-0.8521309
655703,121.3,31.19,135,-1.0250015
811716,114.1683,30.5061,138,-0.21520445
655703,121.3,31.19,138,2.1875
811716,114.1683,30.5061,141,-0.1875
655703,121.3,31.19,141,-0.51250076
811716,114.1683,30.5061,144,-0.13262558
655703,121.3,31.19,144,3.0499992
811716,114.1683,30.5061,147,0.25
655703,121.3,31.19,147,0.6500015
811716,114.1683,30.5061,150,0.7423744
655703,121.3,31.19,150,4.237499
811716,114.1683,30.5061,153,-0.31529024
655703,121.3,31.19,153,2.8375015
811716,114.1683,30.5061,156,-0.06733534
655703,121.3,31.19,156,6.0
811716,114.1683,30.5061,159,0.44029024
655703,121.3,31.19,159,1.8250008
811716,114.1683,30.5061,162,0.27007887
655703,121.3,31.19,162,7.237499
811716,114.1683,30.5061,165,0.02286911
655703,121.3,31.19,165,1.75
