,lon,lat,dh,dat
811716,114.1683,30.5061,3,0.5625
655703,121.3,31.19,3,-2.7000084
811716,114.1683,30.5061,6,0.6326256
655703,121.3,31.19,6,-2.5875092
811716,114.1683,30.5061,9,0.31529024
655703,121.3,31.19,9,-1.6500053
811716,114.1683,30.5061,12,0.2728691
655703,121.3,31.19,12,-0.80000305
811716,114.1683,30.5061,15,0.620157
655703,121.3,31.19,15,-0.8750038
811716,114.1683,30.5061,18,0.5027826
655703,121.3,31.19,18,-0.92500305
811716,114.1683,30.5061,21,0.44028258
655703,121.3,31.19,21,-0.26250076
811716,114.1683,30.5061,24,0.5652826
655703,121.3,31.19,24,-0.27500153
811716,114.1683,30.5061,27,0.46315172
655703,121.3,31.19,27,0.26250076
811716,114.1683,30.5061,30,-1.132618
655703,121.3,31.19,30,-0.33750153
811716,114.1683,30.5061,33,-0.86532164
655703,121.3,31.19,33,-1.4000053
811716,114.1683,30.5061,36,-0.99032164
655703,121.3,31.19,36,-1.8625069
811716,114.1683,30.5061,39,-1.2055262
655703,121.3,31.19,39,-1.8375053
811716,114.1683,30.5061,42,-1.7659734
655703,121.3,31.19,42,-1.7625084
811716,114.1683,30.5061,45,-2.8630733
655703,121.3,31.19,45,-2.1375084
811716,114.1683,30.5061,48,-2.9735599
655703,121.3,31.19,48,-2.5875053
811716,114.1683,30.5061,51,-4.5332694
655703,121.3,31.19,51,-2.5500069
811716,114.1683,30.5061,54,-4.6452823
655703,121.3,31.19,54,-4.22501
811716,114.1683,30.5061,57,-4.109756
655703,121.3,31.19,57,-5.7125244
811716,114.1683,30.5061,60,-4.724544
655703,121.3,31.19,60,-5.362522
811716,114.1683,30.5061,63,-3.8854008
655703,121.3,31.19,63,-6.662529
811716,114.1683,30.5061,66,-4.1597877
655703,121.3,31.19,66,-6.0125313
811716,114.1683,30.5061,69,-3.6549602
655703,121.3,31.19,69,-5.5750237
811716,114.1683,30.5061,72,-4.114057
655703,121.3,31.19,72,-5.850025
811716,114.1683,30.5061,75,-6.8897166
655703,121.3,31.19,75,-8.049999
811716,114.1683,30.5061,78,-6.4771304
655703,121.3,31.19,78,-8.112499
811716,114.1683,30.5061,81,-5.1994257
655703,121.3,31.19,81,-6.6875
811716,114.1683,30.5061,84,-4.141762
655703,121.3,31.19,84,-5.3125
811716,114.1683,30.5061,87,-3.4771307
655703,121.3,31.19,87,-4.75
811716,114.1683,30.5061,90,-2.9494264
655703,121.3,31.19,90,-4.625
811716,114.1683,30.5061,93,-2.6646307
655703,121.3,31.19,93,-4.75
811716,114.1683,30.5061,96,-2.789631
655703,121.3,31.19,96,-4.875
811716,114.1683,30.5061,99,-2.3597565
655703,121.3,31.19,99,-5.5625
811716,114.1683,30.5061,102,-2.9375
655703,121.3,31.19,102,-5.375
811716,114.1683,30.5061,105,-3.5
655703,121.3,31.19,105,-4.174999
811716,114.1683,30.5061,108,-3.4951646
655703,121.3,31.19,108,-4.387501
811716,114.1683,30.5061,111,-3.3701646
655703,121.3,31.19,111,-3.3125
811716,114.1683,30.5061,114,-3.4375
655703,121.3,31.19,114,-3.7999992
811716,114.1683,30.5061,117,-3.6097562
655703,121.3,31.19,117,-4.862499
811716,114.1683,30.5061,120,-4.3152905
655703,121.3,31.19,120,-3.625
811716,114.1683,30.5061,123,-4.495165
655703,121.3,31.19,123,-6.125
811716,114.1683,30.5061,126,-3.9951646
655703,121.3,31.19,126,-4.3499985
811716,114.1683,30.5061,129,-4.1201644
655703,121.3,31.19,129,-6.7750015
811716,114.1683,30.5061,132,-4.5652905
655703,121.3,31.19,132,-4.987499
811716,114.1683,30.5061,135,-3.0
655703,121.3,31.19,135,-6.575001
811716,114.1683,30.5061,138,-4.1249995
655703,121.3,31.19,138,-5.575001
811716,114.1683,30.5061,141,-2.792421
655703,121.3,31.19,141,-6.7249985
811716,114.1683,30.5061,144,-4.375
655703,121.3,31.19,144,-5.75
811716,114.1683,30.5061,147,-3.167421
655703,121.3,31.19,147,-6.5625
811716,114.1683,30.5061,150,-4.2027435
655703,121.3,31.19,150,-6.362499
811716,114.1683,30.5061,153,-2.5
655703,121.3,31.19,153,-7.012501
811716,114.1683,30.5061,156,-4.085369
655703,121.3,31.19,156,-4.862499
811716,114.1683,30.5061,159,-1.2728691
655703,121.3,31.19,159,-5.4375
811716,114.1683,30.5061,162,-3.875
655703,121.3,31.19,162,-4.5625
811716,114.1683,30.5061,165,0.30487442
655703,121.3,31.19,165,-5.012501
811716,114.1683,30.5061,168,-3.5228689
655703,121.3,31.19,168,-4.875
811716,114.1683,30.5061,171,-0.5076256
655703,121.3,31.19,171,-4.0
811716,114.1683,30.5061,174,-3.4326646
655703,121.3,31.19,174,-6.25
811716,114.1683,30.5061,177,-2.4250467
655703,121.3,31.19,177,-2.5
811716,114.1683,30.5061,180,-2.6875
655703,121.3,31.19,180,-5.0
811716,114.1683,30.5061,183,-3.729921
655703,121.3,31.19,183,-1.2125015
811716,114.1683,30.5061,186,-3.0277042
655703,121.3,31.19,186,-3.0125008
811716,114.1683,30.5061,189,-3.6923351
655703,121.3,31.19,189,-1.0999985
811716,114.1683,30.5061,192,-2.6902902
655703,121.3,31.19,192,-2.4375
811716,114.1683,30.5061,195,-2.147869
655703,121.3,31.19,195,-0.54999924
811716,114.1683,30.5061,198,-3.9402902
655703,121.3,31.19,198,-2.8125
811716,114.1683,30.5061,201,-2.730448
655703,121.3,31.19,201,-2.1375008
811716,114.1683,30.5061,204,-4.1201644
655703,121.3,31.19,204,-3.0499992
811716,114.1683,30.5061,207,-2.0777435
655703,121.3,31.19,207,-1.8499985
811716,114.1683,30.5061,210,-4.5576644
655703,121.3,31.19,210,-4.325001
811716,114.1683,30.5061,213,-1.6402436
655703,121.3,31.19,213,-0.98749924
811716,114.1683,30.5061,216,-4.50279
655703,121.3,31.19,216,-5.987499
811716,114.1683,30.5061,219,-1.0256517
655703,121.3,31.19,219,-2.7874985
811716,114.1683,30.5061,222,-6.5625
655703,121.3,31.19,222,-8.912498
811716,114.1683,30.5061,225,-0.6951179
655703,121.3,31.19,225,-1.7249985
811716,114.1683,30.5061,228,-4.1826644
655703,121.3,31.19,228,-7.9375
811716,114.1683,30.5061,231,-2.3381517
655703,121.3,31.19,231,-6.2124977
811716,114.1683,30.5061,234,-4.577743
655703,121.3,31.19,234,-8.125
811716,114.1683,30.5061,237,-1.5777435
655703,121.3,31.19,237,-5.049999
811716,114.1683,30.5061,240,-3.8978689
655703,121.3,31.19,240,-0.38750076
