,lon,lat,dh,dat
811716,114.1683,30.5061,0,13.348649
655703,121.3,31.19,0,17.377012
811716,114.1683,30.5061,3,14.348649
655703,121.3,31.19,3,18.434505
811716,114.1683,30.5061,6,14.667124
655703,121.3,31.19,6,18.420013
811716,114.1683,30.5061,9,14.544568
655703,121.3,31.19,9,17.36501
811716,114.1683,30.5061,12,13.740073
655703,121.3,31.19,12,16.387516
811716,114.1683,30.5061,15,13.204496
655703,121.3,31.19,15,14.344513
811716,114.1683,30.5061,18,12.390556
655703,121.3,31.19,18,13.77953
811716,114.1683,30.5061,21,10.842324
655703,121.3,31.19,21,13.452522
811716,114.1683,30.5061,24,11.776322
655703,121.3,31.19,24,14.673514
811716,114.1683,30.5061,27,14.333094
655703,121.3,31.19,27,17.377012
811716,114.1683,30.5061,30,14.638566
655703,121.3,31.19,30,17.305
811716,114.1683,30.5061,33,14.421344
655703,121.3,31.19,33,15.010502
811716,114.1683,30.5061,36,13.849706
655703,121.3,31.19,36,10.269444
811716,114.1683,30.5061,39,13.266612
655703,121.3,31.19,39,11.323061
811716,114.1683,30.5061,42,13.265557
655703,121.3,31.19,42,10.104001
811716,114.1683,30.5061,45,12.915812
655703,121.3,31.19,45,9.729512
811716,114.1683,30.5061,48,13.081271
655703,121.3,31.19,48,12.346495
811716,114.1683,30.5061,51,14.326066
655703,121.3,31.19,51,16.052021
811716,114.1683,30.5061,54,14.599706
655703,121.3,31.19,54,17.318
811716,114.1683,30.5061,57,14.306744
655703,121.3,31.19,57,16.051477
811716,114.1683,30.5061,60,13.85498
655703,121.3,31.19,60,14.208031
811716,114.1683,30.5061,63,13.573029
655703,121.3,31.19,63,13.107997
811716,114.1683,30.5061,66,13.728137
655703,121.3,31.19,66,2.9510255
811716,114.1683,30.5061,69,13.411277
655703,121.3,31.19,69,9.459421
811716,114.1683,30.5061,72,13.912205
655703,121.3,31.19,72,11.255058
811716,114.1683,30.5061,78,14.390556
655703,121.3,31.19,78,7.5014963
811716,114.1683,30.5061,84,3.1598697
655703,121.3,31.19,84,15.0924835
811716,114.1683,30.5061,90,2.0555034
655703,121.3,31.19,90,17.568
811716,114.1683,30.5061,96,1.6512916
655703,121.3,31.19,96,18.32751
811716,114.1683,30.5061,102,1.2821767
655703,121.3,31.19,102,18.32751
811716,114.1683,30.5061,108,12.516612
655703,121.3,31.19,108,13.872578
811716,114.1683,30.5061,114,12.476696
655703,121.3,31.19,114,10.831993
811716,114.1683,30.5061,120,3.2720602
655703,121.3,31.19,120,17.095509
811716,114.1683,30.5061,126,2.251399
655703,121.3,31.19,126,18.345512
811716,114.1683,30.5061,132,8.434491
655703,121.3,31.19,132,17.76501
811716,114.1683,30.5061,138,1.6175783
655703,121.3,31.19,138,13.437073
811716,114.1683,30.5061,144,2.2848198
655703,121.3,31.19,144,16.92951
811716,114.1683,30.5061,150,1.5564079
655703,121.3,31.19,150,8.619037
811716,114.1683,30.5061,156,11.833094
655703,121.3,31.19,156,2.339002
811716,114.1683,30.5061,162,10.10788
655703,121.3,31.19,162,6.1448827
811716,114.1683,30.5061,168,11.528478
655703,121.3,31.19,168,17.39898
811716,114.1683,30.5061,174,9.464916
655703,121.3,31.19,174,18.51501
811716,114.1683,30.5061,180,14.058518
655703,121.3,31.19,180,17.92751
811716,114.1683,30.5061,186,14.436228
655703,121.3,31.19,186,17.097008
811716,114.1683,30.5061,192,6.6260667
655703,121.3,31.19,192,17.551514
811716,114.1683,30.5061,198,10.748179
655703,121.3,31.19,198,18.364498
811716,114.1683,30.5061,204,1.8201891
655703,121.3,31.19,204,17.507515
811716,114.1683,30.5061,210,1.982158
655703,121.3,31.19,210,14.671514
811716,114.1683,30.5061,216,2.189491
655703,121.3,31.19,216,15.448078
811716,114.1683,30.5061,222,13.465121
655703,121.3,31.19,222,4.4956236
811716,114.1683,30.5061,228,13.476696
655703,121.3,31.19,228,8.325999
811716,114.1683,30.5061,234,13.394322
655703,121.3,31.19,234,7.2420397
811716,114.1683,30.5061,240,13.476696
655703,121.3,31.19,240,12.409012
